id,name,pos,team_name,price,selected_by,status,pen1,prior,benched,minutes_season,xp_h,xp_next,p_start,games,starts_actual,value
108,Wilson,FWD,BRE,5.5,0.4,a,False,False,False,13,5.923907182379111,0.9352522944976274,0.19699999999999998,6,0.0,1.0770740331598383
109,Verbruggen,GK,BHA,4.5,22.1,a,False,False,False,270,19.20819217301058,3.3792664228228313,0.93,6,1.0,4.268487149557907
110,Rushworth,GK,COV,4.5,1.0,a,False,False,False,270,14.867235646550656,2.4102210517809928,0.93,6,1.0,3.3038301436779234
111,Steele,GK,BHA,4.0,4.3,a,False,True,False,0,5.190912190022247,0.9006686757559976,0.242,6,0.0,1.2977280475055617
112,Van Hecke,DEF,TOT,4.9,7.1,a,False,False,False,270,20.91840189219326,3.8220396216227774,0.906,6,1.0,4.269061610651685
113,F.Kadıoğlu,DEF,BHA,4.4,1.9,a,False,False,False,167,12.49879061855951,2.433413712240699,0.654,6,0.6666666666666666,2.8406342314907977
114,Boscagli,DEF,BHA,4.5,0.3,a,False,False,False,270,12.546646346297647,2.374517309320737,0.636,6,1.0,2.788143632510588
115,De Cuyper,DEF,BHA,4.7,18.7,a,False,False,False,243,21.41857869071654,4.247545727834426,0.739,6,1.0,4.557144402280115
116,Dunk,DEF,BHA,4.5,1.3,a,False,False,False,270,14.576187850091946,2.7905212556793737,0.815,6,1.0,3.239152855575988
117,Coppola,DEF,BHA,4.5,0.0,a,False,True,False,0,4.16737598410892,0.7943547393246819,0.228,6,0.0,0.9260835520242046
118,Igor,DEF,BHA,4.5,0.1,u,False,True,False,0,1.5833712847816246,0.0,0.08866666666666667,6,0.0,0.3518602855070277
119,Costinha,DEF,BHA,4.5,0.0,a,False,True,False,48,4.256487961144675,0.8147446468317796,0.219,6,0.0,0.9458862135877055
120,Svoboda,DEF,BHA,5.0,0.1,a,False,True,True,0,15.636211243503228,2.963184333853281,0.718,6,0.0,3.1272422487006457
121,Mitoma,MID,BHA,5.9,0.0,i,False,False,False,0,2.6181320706492617,0.0,0.12933333333333333,6,0.0,0.44375119841512906
122,Minteh,MID,BHA,5.9,0.0,i,False,False,False,0,3.2976797281534154,0.0,0.15066666666666667,6,0.0,0.5589287674836297
123,Hinshelwood,MID,BHA,6.0,1.1,d,False,False,False,63,8.028114967047983,1.0844465843966002,0.35200000000000004,6,0.3333333333333333,1.338019161174664
124,Groß,MID,BHA,5.5,16.0,a,True,False,False,270,18.92982389352304,3.52008269234535,0.774,6,1.0,3.4417861624587345
